,Current,Fc,Tc,Tr,Tj
87,12.0,0.5,32.13678759,35.53755114,31.57805241
88,12.0,0.5,31.90821411,35.38212117,31.45106715
89,12.0,0.5,32.13678759,35.63080912,31.50186125
90,12.0,0.5,32.08599348,35.56863713,31.60344947
91,12.0,0.5,31.50186125,35.63080912,31.50186125
92,12.0,0.5,31.95900822,35.41320716,31.22249367
93,12.0,0.5,31.65424357,35.63080912,31.1463025
94,12.0,0.5,31.90821411,35.41320716,31.45106715
95,12.0,0.5,31.88281706,35.28886319,31.12090545
96,12.0,0.5,32.44155223,35.13343322,31.60344947
97,12.0,0.5,32.13678759,35.44429316,31.57805241
98,12.0,0.5,31.95900822,35.10234723,31.85742
99,12.0,0.5,32.23837581,35.2577772,31.60344947
100,12.0,0.5,32.11139054,35.53755114,31.60344947
101,12.0,0.5,32.11139054,35.56863713,30.79074376
102,12.0,0.5,32.13678759,35.38212117,31.83202295
103,12.0,0.5,32.13678759,35.44429316,31.42567009
104,12.0,0.5,31.95900822,35.10234723,31.60344947
105,12.0,0.5,32.61933161,35.81732508,31.29868483
106,12.0,0.5,32.26377286,35.81732508,31.42567009
107,12.0,0.5,32.23837581,35.44429316,30.94312608
108,12.0,0.5,31.98440527,35.56863713,31.60344947
109,12.0,0.5,31.88281706,35.69298111,30.84153786
110,12.0,0.5,32.26377286,35.91058306,31.45106715
111,12.0,0.5,32.23837581,35.69298111,31.57805241
112,12.0,0.5,32.13678759,35.13343322,31.45106715
113,12.0,0.5,32.23837581,35.41320716,30.73994965
114,12.0,0.5,32.31456697,35.41320716,31.57805241
115,12.0,0.5,32.13678759,35.41320716,31.57805241
116,12.0,0.5,31.98440527,35.56863713,31.4764642
117,12.0,0.5,32.13678759,35.69298111,31.50186125
118,12.0,0.5,32.59393455,35.13343322,31.57805241
119,12.0,0.5,32.13678759,35.41320716,31.12090545
120,12.0,0.5,32.31456697,35.63080912,31.55265536
121,12.0,0.5,31.95900822,35.69298111,31.1463025
122,12.0,0.5,32.21297875,35.53755114,31.0955084
123,12.0,0.5,32.44155223,35.84841107,31.37487599
124,12.0,0.5,31.73043474,35.2577772,31.37487599
125,12.0,0.5,32.08599348,35.63080912,31.50186125
126,12.0,0.5,32.33996402,35.50646515,31.55265536
127,12.0,0.5,31.78122884,36.03492703,31.42567009
128,12.0,0.5,32.41615518,35.69298111,31.50186125
129,12.0,0.5,32.44155223,35.44429316,30.86693492
130,12.0,0.5,32.33996402,35.81732508,31.19709661
131,12.0,0.5,32.13678759,35.44429316,31.55265536
132,12.0,0.5,32.23837581,35.38212117,31.45106715
133,12.0,0.5,31.98440527,35.44429316,32.06059643
134,12.0,0.5,32.13678759,35.63080912,31.1463025
135,12.0,0.5,32.23837581,35.81732508,31.60344947
136,12.0,0.5,32.13678759,35.69298111,31.70503768
137,12.0,0.5,32.26377286,35.63080912,31.60344947
138,12.0,0.5,32.5685375,36.53230293,31.45106715
139,12.0,0.5,31.90821411,35.56863713,31.29868483
140,12.0,0.5,32.49234634,35.81732508,31.57805241
141,12.0,0.5,32.23837581,35.69298111,31.45106715
142,12.0,0.5,31.88281706,35.69298111,31.60344947
143,12.0,0.5,32.08599348,35.41320716,31.57805241
144,12.0,0.5,32.26377286,35.63080912,31.45106715
145,12.0,0.5,31.88281706,35.84841107,31.29868483
146,12.0,0.5,31.85742,35.2577772,31.45106715
147,12.0,0.5,32.33996402,35.81732508,31.57805241
148,12.0,0.5,32.23837581,35.10234723,31.65424357
149,12.0,0.5,32.36536107,35.63080912,31.55265536
150,12.0,0.5,32.26377286,35.91058306,31.45106715
151,12.0,0.5,32.33996402,35.38212117,31.60344947
152,12.0,0.5,31.90821411,36.12818501,31.57805241
