,Current,Fc,Tc,Tr,Tj,Error
66,12.0,0.5,32.33996402,35.44429316,31.60344947,0
67,12.0,0.5,32.11139054,35.44429316,31.50186125,0
68,12.0,0.5,32.21297875,35.10234723,31.37487599,0
69,12.0,0.5,32.00980232,35.35103518,31.60344947,0
70,12.0,0.5,32.26377286,35.63080912,31.60344947,0
71,12.0,0.5,32.13678759,35.44429316,31.42567009,0
72,12.0,0.5,32.33996402,35.38212117,31.60344947,0
73,12.0,0.5,32.13678759,35.13343322,31.57805241,0
74,12.0,0.5,31.90821411,35.13343322,31.22249367,0
75,12.0,0.5,31.88281706,35.44429316,31.29868483,0
76,12.0,0.5,32.08599348,35.38212117,31.60344947,0
77,12.0,0.5,32.13678759,35.69298111,31.57805241,0
78,12.0,0.5,32.44155223,36.09709902,31.37487599,0
79,12.0,0.5,31.98440527,35.44429316,31.60344947,0
80,12.0,0.5,32.11139054,35.63080912,31.24789072,0
81,12.0,0.5,31.90821411,35.50646515,31.29868483,0
82,12.0,0.5,32.08599348,35.44429316,31.60344947,0
83,12.0,0.5,32.13678759,35.56863713,30.79074376,0
84,12.0,0.5,31.62884652,35.63080912,31.60344947,0
85,12.0,0.5,32.08599348,35.81732508,31.60344947,0
86,12.0,0.5,32.23837581,35.44429316,31.55265536,0
87,12.0,0.5,32.13678759,35.53755114,31.57805241,0
88,12.0,0.5,31.90821411,35.38212117,31.45106715,0
89,12.0,0.5,32.13678759,35.63080912,31.50186125,0
90,12.0,0.5,32.08599348,35.56863713,31.60344947,0
91,12.0,0.5,31.50186125,35.63080912,31.50186125,0
92,12.0,0.5,31.95900822,35.41320716,31.22249367,0
93,12.0,0.5,31.65424357,35.63080912,31.1463025,0
94,12.0,0.5,31.90821411,35.41320716,31.45106715,0
95,12.0,0.5,31.88281706,35.28886319,31.12090545,0
96,12.0,0.5,32.44155223,35.13343322,31.60344947,0
97,12.0,0.5,32.13678759,35.44429316,31.57805241,0
98,12.0,0.5,31.95900822,35.10234723,31.85742,0
99,12.0,0.5,32.23837581,35.2577772,31.60344947,0
100,12.0,0.5,32.11139054,35.53755114,31.60344947,0
101,12.0,0.5,32.11139054,35.56863713,30.79074376,0
102,12.0,0.5,32.13678759,35.38212117,31.83202295,0
103,12.0,0.5,32.13678759,35.44429316,31.42567009,0
104,12.0,0.5,31.95900822,35.10234723,31.60344947,0
105,12.0,0.5,32.61933161,35.81732508,31.29868483,0
106,12.0,0.5,32.26377286,35.81732508,31.42567009,0
107,12.0,0.5,32.23837581,35.44429316,30.94312608,0
108,12.0,0.5,31.98440527,35.56863713,31.60344947,0
109,12.0,0.5,31.88281706,35.69298111,30.84153786,0
110,12.0,0.5,32.26377286,35.91058306,31.45106715,0
111,12.0,0.5,32.23837581,35.69298111,31.57805241,0
112,12.0,0.5,32.13678759,35.13343322,31.45106715,0
113,12.0,0.5,32.23837581,35.41320716,30.73994965,0
114,12.0,0.5,32.31456697,35.41320716,31.57805241,0
115,12.0,0.5,32.13678759,35.41320716,31.57805241,0
116,12.0,0.5,31.98440527,35.56863713,31.4764642,0
117,12.0,0.5,32.13678759,35.69298111,31.50186125,0
118,12.0,0.5,32.59393455,35.13343322,31.57805241,0
119,12.0,0.5,32.13678759,35.41320716,31.12090545,0
120,12.0,0.5,32.31456697,35.63080912,31.55265536,0
121,12.0,0.5,31.95900822,35.69298111,31.1463025,0
122,12.0,0.5,32.21297875,35.53755114,31.0955084,0
123,12.0,0.5,32.44155223,35.84841107,31.37487599,0
124,12.0,0.5,31.73043474,35.2577772,31.37487599,0
125,12.0,0.5,32.08599348,35.63080912,31.50186125,0
126,12.0,0.5,32.33996402,35.50646515,31.55265536,0
127,12.0,0.5,31.78122884,36.03492703,31.42567009,0
128,12.0,0.5,32.41615518,35.69298111,31.50186125,0
129,12.0,0.5,32.44155223,35.44429316,30.86693492,0
130,12.0,0.5,32.33996402,35.81732508,31.19709661,0
131,12.0,0.5,32.13678759,35.44429316,31.55265536,0
132,12.0,0.5,32.23837581,35.38212117,31.45106715,0
133,12.0,0.5,31.98440527,35.44429316,32.06059643,0
134,12.0,0.5,32.13678759,35.63080912,31.1463025,0
135,12.0,0.5,32.23837581,35.81732508,31.60344947,0
136,12.0,0.5,32.13678759,35.69298111,31.70503768,0
137,12.0,0.5,32.26377286,35.63080912,31.60344947,0
138,12.0,0.5,32.5685375,36.53230293,31.45106715,0
139,12.0,0.5,31.90821411,35.56863713,31.29868483,0
140,12.0,0.5,32.49234634,35.81732508,31.57805241,0
141,12.0,0.5,32.23837581,35.69298111,31.45106715,0
142,12.0,0.5,31.88281706,35.69298111,31.60344947,0
143,12.0,0.5,32.08599348,35.41320716,31.57805241,0
144,12.0,0.5,32.26377286,35.63080912,31.45106715,0
145,12.0,0.5,31.88281706,35.84841107,31.29868483,0
